City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Nanortalik,GL,2022-02-02 06:47:00,60.1432,-45.2371,5.65,69,3,17.49
59,Inyonga,TZ,2022-02-02 06:47:01,-6.7167,32.0667,71.26,80,100,1.7
60,Airai,TL,2022-02-02 06:45:17,-8.9266,125.4092,73.33,57,73,4.83
61,Brigantine,US,2022-02-02 06:47:02,39.4101,-74.3646,25.5,93,0,4.61
62,Port Elizabeth,ZA,2022-02-02 06:47:02,-33.918,25.5701,82.69,69,0,3.44
63,Punta Arenas,CL,2022-02-02 06:45:34,-53.15,-70.9167,42.91,75,75,19.57
64,Sembakung,ID,2022-02-02 06:47:04,3.8167,117.25,87.73,51,84,1.68
65,Sagae,JP,2022-02-02 06:47:04,38.3725,140.2725,41.61,75,75,5.75
66,Clyde River,CA,2022-02-02 06:47:05,70.4692,-68.5914,-25.37,75,100,3.44
67,Honiara,SB,2022-02-02 06:47:05,-9.4333,159.95,82.65,77,77,3.47
68,Cayenne,GF,2022-02-02 06:44:44,4.9333,-52.3333,75.09,92,100,4.0
69,Talnakh,RU,2022-02-02 06:47:06,69.4865,88.3972,1.2,96,99,7.43
70,Bengkulu,ID,2022-02-02 06:43:26,-3.8004,102.2655,80.4,72,98,4.68
71,Butaritari,KI,2022-02-02 06:47:07,3.0707,172.7902,81.91,78,22,14.43
72,Hilo,US,2022-02-02 06:47:08,19.7297,-155.09,69.8,90,20,3.44
73,Georgetown,MY,2022-02-02 06:45:09,5.4112,100.3354,91.35,70,20,8.01
74,Sakakah,SA,2022-02-02 06:47:08,29.9697,40.2064,47.77,43,1,10.92
75,Kaitangata,NZ,2022-02-02 06:47:09,-46.2817,169.8464,71.92,81,100,3.13
76,Bathsheba,BB,2022-02-02 06:47:09,13.2167,-59.5167,77.61,83,40,12.66
77,Asau,RO,2022-02-02 06:45:34,46.4333,26.4,25.72,82,100,5.88
78,Inuvik,CA,2022-02-02 06:47:10,68.3499,-133.7218,-19.34,73,20,4.61
79,Aklavik,CA,2022-02-02 06:47:11,68.2191,-135.0107,-19.37,99,100,4.32
80,Pirganj,BD,2022-02-02 06:47:11,25.8523,88.3618,72.72,39,0,6.42
81,Grand-Lahou,CI,2022-02-02 06:47:12,5.1367,-5.0242,76.89,86,100,2.51
82,Nikolskoye,RU,2022-02-02 06:47:12,59.7035,30.7861,24.69,98,96,1.72
83,Tomatlan,MX,2022-02-02 06:47:13,19.9333,-105.25,59.88,74,0,2.71
84,San Juan,AR,2022-02-02 06:43:05,-31.5375,-68.5364,75.49,50,100,5.79
85,Port Angeles,US,2022-02-02 06:47:14,48.1181,-123.4307,38.71,90,40,4.61
86,Charkhi Dadri,IN,2022-02-02 06:47:14,28.6,76.2667,69.76,36,2,2.93
87,Hermanus,ZA,2022-02-02 06:47:14,-34.4187,19.2345,74.8,78,1,11.43
88,Lake Charles,US,2022-02-02 06:47:15,30.2131,-93.2044,61.03,97,100,5.75
89,San Quintin,MX,2022-02-02 06:47:15,30.4833,-115.95,58.46,65,100,8.88
90,Berlevag,NO,2022-02-02 06:47:16,70.8578,29.0864,17.4,72,20,10.36
91,Buluang,PH,2022-02-02 06:48:17,13.3068,123.3425,75.18,93,100,5.39
92,Pelym,RU,2022-02-02 06:48:17,61.0108,61.9978,22.26,94,100,5.84
93,Deputatskiy,RU,2022-02-02 06:48:18,69.3,139.9,-17.59,98,100,1.83
94,Mar Del Plata,AR,2022-02-02 06:48:01,-38.0023,-57.5575,67.08,92,100,0.0
95,Nome,US,2022-02-02 06:48:19,64.5011,-165.4064,17.67,53,0,34.52
96,Rosita,NI,2022-02-02 06:48:19,13.9268,-84.4032,65.7,99,15,0.81
97,Russell,US,2022-02-02 06:45:06,32.3502,-85.1999,54.63,66,40,4.61
98,Bentiu,SS,2022-02-02 06:48:20,9.2333,29.8333,79.47,14,96,8.05
99,Qaanaaq,GL,2022-02-02 06:48:20,77.484,-69.3632,-23.4,61,75,9.22
100,Marsh Harbour,BS,2022-02-02 06:48:21,26.5412,-77.0636,68.94,57,100,16.69
